q_source_id,m_source_id,tag
spotify_apidsr__2NbYAPqE6FTyQte9kW4vgr,crawler_believe__26052217,invalid
crawler_believe__34028360,crawler_believe__34168410,valid
crawler_fuga__7427128907609_1_6_ITZB42136782,crawler_believe__42573832,valid
crawler_believe__34168476,spotify_apidsr__3kOHtCewbmdWgMVgJ8rpkC,invalid
spotify_apidsr__28JA0VuEMS8i3N6fpRXr2M,spotify_apidsr__1d6j1PD3Z8NqbCgCYKDbCy,invalid
crawler_believe__34168380,apple__1514462615,invalid
crawler_believe__34168359,apple__1512759138,invalid
crawler_believe__33987595,crawler_sonydigitalcontent__A10328E00096090935,invalid
crawler_believe__34168320,crawler_believe__33987891,invalid
crawler_believe__42812715,crawler_believe__42573405,valid
youtube_dsr__A475400071991457,apple__1535005415,invalid
crawler_believe__34168426,youtube_dsr__A801705208123409,invalid
apple__1521796393,apple__1540250010,invalid
crawler_believe__34168413,crawler_believe__36812188,invalid
crawler_believe__34037127,youtube_dsr__A124451640321098,invalid
crawler_phononet_ftp__01010580022006162104905032,crawler_believe__34224349,invalid
youtube_dsr__A273178242132614,crawler_believe__34168458,invalid
crawler_247__886446088099_DK4YA1609401,crawler_believe__42579233,invalid
apple__1529103084,crawler_prosieben_commercial_s3__1F6E0066-D7C2-4664-A89B-04A0CA5996BD,invalid
spotify_apidsr__1P5xVk1Cj4U93D4b6dY8wY,apple__1475928215,invalid
spotify_apidsr__01KcceyKjm6VGeJAkTS4gD,crawler_new247__USUYG1138179,invalid
amazon_dsr__B07X44R3S7,scf__6863242_1,invalid
spotify_apidsr__4EyBZN8AmXr8W1HR4vWumN,youtube_dsr__A301936520643429,invalid
spotify__1W2LPO7olIVtHjLsQhAS2b,apple__1401969761,invalid
scf__3830832_0,crawler_umgna__05060205158383_1_7_GBEUE1600099,invalid
apple__1488851437,apple__1470332765,invalid
apple__1456801446,youtube_dsr__A121743794336459,invalid
scf__5887418_0,spotify_apidsr__5lN7UtvhpwEHzifSjKw3z2,invalid
youtube_dsr__A116121221264102,crawler_new247__USUYG1113448,valid
itunes_dsr__1458184013,apple__1466818329,invalid
youtube_dsr__A611674253149387,crawler_emidigitalcontent__00602577646348_USUM71904018_R8,invalid
spotify_apidsr__5xxpAPWDd2JzncxdqSdzO6,youtube_dsr__A841963292760200,invalid
youtube_dsr__A718918294401297,itunes_dsr__1478136703,invalid
spotify_apidsr__0G02tO6kY9IXJBLtszYTwN,scpp__24440001266773,invalid
apple__1479240036,spotify_apidsr__2l4jrRoo5ixpuuc9LSjUSW,invalid
apple__1447495413,crawler_believe__30230049,invalid
crawler_empire_ftp__888915371046_1_1_USUYG1138179,spotify_apidsr__35KhdqVSIl48JWGE2LjdAy,invalid
crawler_fuga__5055283408949_1_46_GBVVQ1200541,spotify_apidsr__6518944rKW65sWdjaydzVY,invalid
youtube_dsr__A788830398296840,scf__6611078_0,invalid
crawler_new247__GBEUE1600099,apple__1230280467,invalid
apple__1510454713,spotify_apidsr__7kvZ2sm0ZJKIuECY0e761G,invalid
youtube_dsr__A331539626812888,spotify_apidsr__6s15rf4MD8aiFQUYA56MGH,invalid
spotify_apidsr__1rQVEtBvJcSK4zhZ5Io8Qw,crawler_yle__6038ed42bedb54015efa5e35,invalid
crawler_sonydigitalcontent__A10328E0009615063C,youtube_dsr__A691860121220656,valid
apple__1518036216,spotify_apidsr__2sS9KyPIRHBrImmjQuaZuH,invalid
apple__1528182203,apple__1535583335,invalid
spotify_apidsr__3WVVfcrfXfxXqJdYxp6O7v,youtube_dsr__A490868074976184,invalid
tedald_spotify__58wyJLv6yH1La9NIZPl3ne,apple__1500626896,valid
spotify_apidsr__1Av69kr9JitqPWo7WJLS5q,apple__1521167552,invalid
spotify_apidsr__58wyJLv6yH1La9NIZPl3ne,spotify_apidsr__740hn5ypNADeWaxQxrvIYH,invalid
apple__1534469761,youtube_dsr__A926055591246794,invalid
crawler_sonydigitalcontent__A10328E0009540788T,apple__1522856765,invalid
spotify_apidsr__4cSqFmZHFztI19THJcLL4d,spotify_apidsr__0FLRn1KKH2CZNmPN9VOU7e,invalid
manual__5fe34ccf0ff976536f4437dc,spotify_apidsr__2gUTYLBSUDsqXcrdMdAT3e,invalid
spotify_apidsr__5CV84gmqNExmKzrIl4NzR6,spotify_apidsr__10jQXhaM4w42AQtznpO5zB,invalid
spotify_apidsr__0RwH3h5KzV5jM0wXtmax49,youtube_dsr__A698802017243991,valid
youtube_dsr__A443105226392246,spotify_apidsr__41sqkZFHzMcpUC00yUYiWw,invalid
crawler_prosieben_commercial_s3__0E37D134-D59F-445B-8388-7BD8014FB0D9,spotify_apidsr__51Tv4DIYBnpJ5W2uwZH0Tn,invalid
youtube_dsr__A322470131787054,spotify_apidsr__28fKqXZUvYRyNmAmfHguzs,invalid
spotify_apidsr__5OfFdmpJifLJExvCXgPD2O,apple__1434277103,invalid
crawler_sonydigitalcontent__A10328E0009930895T,amazon_dsr__B08Z5LRB78,invalid
youtube_dsr__A648349116187694,youtube_dsr__A709998744293779,invalid
youtube_dsr__A162480317987493,crawler_recochoku_ftp__1022074164,invalid
spotify_apidsr__2qqt1mSowyE2MYjm38bs5a,youtube_dsr__A142491351643468,invalid
spotify_apidsr__6wGOOMMVgaT9LEi2y9jeq1,crawler_recochoku_ftp__1024143623,invalid
crawler_ritmonet__8fa4f576-ae73-11eb-984e-002590868410,youtube_dsr__A473903772208909,invalid
crawler_recochoku_ftp__1024260941,crawler_recochoku_ftp__1021894968,valid
youtube_dsr__A829812151185578,youtube_dsr__A200386124949305,invalid
apple__1529705217,crawler_recochoku_ftp__1024298269,invalid
crawler_believe__40461181,spotify_apidsr__4LGarwFrv5bvydZmTuLEeC,invalid
crawler_recochoku_ftp__1024260512,spotify_apidsr__1yTeAwYSg9ZNDWkCSPXDu3,invalid
youtube_dsr__A858858462030685,crawler_sonydigitalcontent__A10328E00099144731,valid
spotify_apidsr__3FxPbp05KjMBa4HbhAJTH0,amazon_dsr__B08VHT1RD8,valid
youtube_dsr__A778037922365084,spotify_apidsr__1HcHIbClsuPtG9Pz2x3N6g,invalid
amazon_dsr__B08Z62KCRB,youtube_dsr__A135736194288480,valid
crawler_recochoku_ftp__1023911005,amazon_dsr__B09327T85Q,invalid
youtube_dsr__A147684974053255,spotify_apidsr__0GY69xAcSRJRvbgaI7lVdt,valid
youtube_dsr__A389046875876948,youtube_dsr__A479751197660015,invalid
